"","Family","Sample.Type","N","mean","sd","se"
"1","Comamonadaceae","Small Intestine",4,0.307791417630006,0.615582835260012,0.307791417630006
"2","Comamonadaceae","Ceca",5,1.44043980311869,2.1083384797332,0.9428776320524
"3","Comamonadaceae","Large Intestine",5,10.1215336316977,8.78300350149094,3.92787857519048
"4","Comamonadaceae","Cloaca",2,0,0,0
"5","Enterobacteriaceae","Small Intestine",4,9.38750161311137,11.073141043658,5.53657052182901
"6","Enterobacteriaceae","Ceca",5,41.8803478401201,36.3637816535305,16.2623775392508
"7","Enterobacteriaceae","Large Intestine",5,0.377763448896574,0.598841827402844,0.267810206768591
"8","Enterobacteriaceae","Cloaca",2,29.9495787425881,12.36221828789,8.74140838187539
"9","Enterococcaceae","Small Intestine",4,6.06860158311346,12.1372031662269,6.06860158311346
"10","Enterococcaceae","Ceca",5,6.72476827716998,4.79663948688851,2.14512239124848
"11","Enterococcaceae","Large Intestine",5,11.1311717022845,17.2102123633334,7.69664095032416
"12","Enterococcaceae","Cloaca",2,1.97424892703863,2.79200960811856,1.97424892703863
"13","Moraxellaceae","Small Intestine",4,13.1464916232276,18.6573990259253,9.32869951296265
"14","Moraxellaceae","Ceca",5,0,0,0
"15","Moraxellaceae","Large Intestine",5,0,0,0
"16","Moraxellaceae","Cloaca",2,1.25996254660691,0.737022111917678,0.521153333221421
"17","Mycoplasmataceae","Small Intestine",4,0,0,0
"18","Mycoplasmataceae","Ceca",5,29.5525895540615,34.1246336243247,15.261000098253
"19","Mycoplasmataceae","Large Intestine",5,30.0023232068703,33.1930227448626,14.8443710472419
"20","Mycoplasmataceae","Cloaca",2,4.58154506437768,6.47928316666643,4.58154506437768
"21","Peptostreptococcaceae","Small Intestine",4,0,0,0
"22","Peptostreptococcaceae","Ceca",5,2.52033588545597,3.33890567801767,1.49320401330151
"23","Peptostreptococcaceae","Large Intestine",5,0,0,0
"24","Peptostreptococcaceae","Cloaca",2,0,0,0
"25","Staphylococcaceae","Small Intestine",4,2.25366720758579,4.45974246824518,2.22987123412259
"26","Staphylococcaceae","Ceca",5,0.250871080139373,0.560964788780435,0.250871080139373
"27","Staphylococcaceae","Large Intestine",5,12.9657040869271,15.6696759149374,7.00769210623826
"28","Staphylococcaceae","Cloaca",2,10.8799122605771,5.61424844559773,3.96987314714819
"29","Streptococcaceae","Small Intestine",4,1.93089430894309,3.86178861788618,1.93089430894309
"30","Streptococcaceae","Ceca",5,5.69441999090375,8.71184820344508,3.89605695851252
"31","Streptococcaceae","Large Intestine",5,0.282960802775569,0.445622899499936,0.199288619122483
"32","Streptococcaceae","Cloaca",2,0.869187309865276,1.22921648185406,0.869187309865276
